RouteName,StopName,Directions,Latitude,Longitude
CenturyTree,MSC,Outbound,30.61285119,-96.34235518
CenturyTree,Kleberg - Outbound,Outbound,30.60985036,-96.34697039
CenturyTree,Physical Education - Outbound,Outbound,30.60497283,-96.34905759
CenturyTree,Penberthy @ Park West - Outbound,Outbound,30.59802893,-96.3432931
CenturyTree,Jones-Butler @ Woodsman - Outbound,Outbound,30.59357776,-96.33887082
CenturyTree,Holleman @ Legacy,Outbound,30.58884665,-96.33807962
CenturyTree,Holleman South,Outbound,30.58413355,-96.33743941
CenturyTree,Junction Boys,Outbound,30.58175791,-96.33640184
CenturyTree,Holleman @ Davidson,Outbound,30.57585657,-96.32818955
CenturyTree,Deacon West,Outbound,30.57265696,-96.32034814
CenturyTree,General @ Holleman,Inbound,30.58122576,-96.3302647
CenturyTree,Holleman @ Corregidor,Inbound,30.58976833,-96.33799131
CenturyTree,Jones-Butler @ Woodsman - Inbound,Inbound,30.59362602,-96.33881916
CenturyTree,Penberthy @ Park West - Inbound,Inbound,30.59822465,-96.34311296
CenturyTree,Physical Education - Inbound,Inbound,30.60516017,-96.34902933
CenturyTree,Kleberg - Inbound,Inbound,30.60981525,-96.34664512
CenturyTree,MSC,Inbound,30.61285119,-96.34235518
