RouteName,StopName,Directions,Latitude,Longitude
Hullabaloo,MSC,Outbound,30.61311673,-96.34186811
Hullabaloo,Kleberg - Outbound,Outbound,30.60987307,-96.34699294
Hullabaloo,Physical Education - Outbound,Outbound,30.60492439,-96.34899602
Hullabaloo,Penberthy @ Park West - Outbound,Outbound,30.59790274,-96.34316879
Hullabaloo,Jones-Butler @ Woodsman - Outbound,Outbound,30.593826,-96.3392505
Hullabaloo,Jones Butler @ Gridiron - Outbound,Outbound,30.59138581,-96.33639615
Hullabaloo,Jones Butler @ Harvey Mitchell - Outbound,Outbound,30.58882662,-96.33372523
Hullabaloo,Luther @ Harvey Mitchell - Inbound,Inbound,30.58983459,-96.3464884
Hullabaloo,Luther - Inbound,Inbound,30.59192489,-96.34416816
Hullabaloo,Luther @ Jones-Butler - Inbound,Inbound,30.59393784,-96.34194968
Hullabaloo,Penberthy @ Park West - Inbound,Inbound,30.59816,-96.34310276
Hullabaloo,Physical Education - Inbound,Inbound,30.60522537,-96.34911904
Hullabaloo,Kleberg - Inbound,Inbound,30.60971678,-96.34666104
Hullabaloo,MSC,Inbound,30.61311673,-96.34186811
