RouteName,StopName,Directions,Latitude,Longitude
RingDance,Trigon,Outbound,30.61388728,-96.3396808
RingDance,Anderson @ Park Place - Outbound,Outbound,30.611407,-96.32401795
RingDance,Anderson Park - Outbound,Outbound,30.60944372,-96.32123284
RingDance,HEB - Outbound,Outbound,30.61181553,-96.31843415
RingDance,Holleman@ Lassie Lane - Outbound,Outbound,30.61572281,-96.31249268
RingDance,Holleman @ Spirit Ice Arena - Outbound,Outbound,30.61739552,-96.3106301
RingDance,Holleman @ Dartmouth - Outbound,Outbound,30.61831256,-96.30804343
RingDance,Dartmouth - Outbound,Outbound,30.62089463,-96.30905075
RingDance,Holleman @ Wolf Pen Creek - Outbound,Outbound,30.61987752,-96.30447978
RingDance,Holleman @ Dartmouth - Inbound,Inbound,30.61850654,-96.30828803
RingDance,Holleman @ Spirit Ice Arena - Inbound,Inbound,30.61748904,-96.310822
RingDance,Holleman @ Lassie Lane - Inbound,Inbound,30.61585665,-96.31262223
RingDance,HEB - Inbound,Inbound,30.61196607,-96.31853347
RingDance,Village Drive - Inbound,Inbound,30.61081687,-96.32061334
RingDance,Anderson @ Park Place - Inbound,Inbound,30.61125831,-96.32349447
RingDance,Trigon,Inbound,30.61388728,-96.3396808
