RouteName,StopName,Directions,Latitude,Longitude,,,
Rudder,Trigon,Outbound,30.613873,-96.338407,,,
Rudder,Southside Rec Center,Outbound,30.615479,-96.334082,,,
Rudder,Anderson @ Park Place - South,Outbound,30.608957,-96.32057,,,
Rudder,Anderson @ Holik,Outbound,30.607052,-96.31761,,,
Rudder,Anderson @ Brentwood,Outbound,30.606196,-96.313467,,,
Rudder,Southwest Parkway @ Anderson,Outbound,30.605591,-96.310877,,,
Rudder,Southwest Parkway @ Cornell,Outbound,30.60949,-96.306613,,,
Rudder,Southwest Parkway @ Dartmouth,Outbound,30.612232,-96.303531,,,
Rudder,Southwest Parkway @ Central Park Lane,Outbound,30.615265,-96.300135,,,
Rudder,Wolf Pen Creek,Outbound,30.617917,-96.301719,,,
Rudder,Wolf Pen Creek,Inbound,30.617917,-96.301719,,,
Rudder,Brentwood @ Colgate Circle,Inbound,30.612076,-96.306936,,,
Rudder,Brentwood @ Texas Avenue,Inbound,30.607977,-96.312806,,,
Rudder,Anderson @ Alpine Circle,Inbound,30.606494,-96.316255,,,
Rudder,Anderson @ Holleman,Inbound,30.608906,-96.320385,,,
Rudder,Anderson @ Park Place - North,Inbound,30.61129,-96.323623,,,
Rudder,Trigon,Inbound,30.613873,-96.338407,,,
